Edrude_ind 		 Edrude_dhf
     -0.00134930      -0.00025185
     -0.00023307       0.00001654
      0.00340110      -0.01517637
     -0.00175781       0.00030308
     -0.00375641       0.00002446
     -0.00039919       0.00001365
     -0.00379715       0.00013310
     -0.00040930       0.00001790
     -0.00307381      -0.00078751
     -0.00037368      -0.00003379
     -0.00300209      -0.00073320
     -0.00037362      -0.00003145
     -0.00079171       0.00007206
     -0.00088448       0.00009330
     -0.00087383       0.00009209
     -0.00122158       0.00015475
     -0.00071982       0.00007205
     -0.00060426       0.00006471
     -0.00119788       0.00015171
     -0.00061554       0.00005216
     -0.00133044      -0.00026180
     -0.00133152      -0.00026222
     -0.00272715       0.00035882
     -0.00939518       0.00179854
     -0.00042238      -0.00002137
     -0.00041552      -0.00002094
     -0.00133995       0.00004966
     -0.00122649       0.00016841
     -0.00054841      -0.00004262
     -0.00125898       0.00001097
